m1_rpm,m2_rpm,m3_rpm,m4_rpm,temp_m1,temp_m2,temp_m3,temp_m4,volt_m1,volt_m2,volt_m3,volt_m4,x_camera,y_camera,Altitude,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,compass,roll,pitch,yaw,x_gps,y_gps,z_gps
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,1.6861259937286377,-12.537175178527832,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,343.99,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.5256989002227783,6.89457893371582,2.284475088119507
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,1.6748018264770508,-12.609283447265625,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,343.99,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.5256989002227783,6.89457893371582,2.284475088119507
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,2.515692710876465,-13.072439193725586,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,340.62,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.5852924585342407,7.248922348022461,2.3228919506073
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,2.515692710876465,-13.072439193725586,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,340.62,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.6626635789871216,7.612216949462891,2.3633971214294434
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,8.11219310760498,-20.55628204345703,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,340.53,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.6626635789871216,7.612216949462891,2.3633971214294434
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,8.476178169250488,-24.06377410888672,,-0.77472535,-0.24516624999999886,9.44380395,-0.1536673605442047,-0.26415297389030457,-0.0905693098902702,340.21,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.7237681150436401,7.979077339172363,2.40238094329834
12614.0,12585.0,12212.0,12555.0,44.0,44.0,44.0,48.0,11.380000114440918,11.329999923706055,11.40999984741211,11.869999885559082,7.1139140129089355,-26.59309196472168,,-0.7060788,-0.2745861999999989,9.1790244,-0.012227189727127552,-0.016941480338573452,0.02760156244039536,340.21,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.7897456884384155,8.350494384765625,2.449589729309082
10942.0,12464.0,12237.0,12513.0,45.0,44.0,44.0,44.0,11.15999984741211,11.449999809265137,11.329999923706055,10.479999542236328,7.1139140129089355,-26.59309196472168,,-0.7060788,-0.2745861999999989,9.1790244,-0.012227189727127552,-0.016941480338573452,0.02760156244039536,340.21,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.7897456884384155,8.350494384765625,2.449589729309082
10942.0,12464.0,12237.0,12513.0,45.0,44.0,44.0,44.0,11.15999984741211,11.449999809265137,11.329999923706055,10.479999542236328,4.714206218719482,-27.9985408782959,,-0.7060788,-0.2745861999999989,9.1790244,-0.012227189727127552,-0.016941480338573452,0.02760156244039536,338.92,5.6947581470012665e-05,0.1607428640127182,1.853591799736023,0.7897456884384155,8.350494384765625,2.449589729309082
10942.0,12464.0,12237.0,12513.0,45.0,44.0,44.0,44.0,11.15999984741211,11.449999809265137,11.329999923706055,10.479999542236328,3.6501123905181885,-29.2611026763916,,-0.7060788,-0.2745861999999989,9.1790244,-0.012227189727127552,-0.016941480338573452,0.02760156244039536,338.92,0.002891071140766144,0.18063656985759735,1.9169813394546509,0.884509265422821,8.845297813415527,2.5132558345794678
